SHORTNAME	NAME
LA1	LABORATORIUM
LQPM	LandesqualitätsprozessmanagerIn
M2	Mathematik
MDSG	MEDIEN-DESIGN / KD-Kolleg Abend
MED2	Medientechnik
MED2x	Medientechnik x-Gruppe
MED2y	Medientechnik y-Gruppe
MEDT	MEDIENTECHNIK (LVG 1)
MEDTx	Medientechnik x-Gruppe
MEDTy	Medientechnik y-Gruppe
MEP_3	Medienproduktion 3 - 2013 - 2018
MET1	Maschinen- und Elektrotechnik
MET1x	Maschinen- und Elektrotechnik
MET1y	Maschinen- und Elektrotechnik
METE	Mechanische Technologie
MGAN	Mediengestaltung - Animation
MGG	Mediengestaltung
MGGD	Mediengestaltung - Gamedesign
MGIN	Medizin- und Gesundheitsinformatik
MGINx	Medizin- und Gesundheitsinformatik x-Gruppe
MGINy	Medizin- und Gesundheitsinformatik y-Gruppe
MGT	Medizinische Gerätetechnik
MIS	Medizinische Informationssysteme
MISx	Medizinische Informationssysteme, x-Gruppe
MISy	Medizinische Informationssysteme, y-Gruppe
MP3	Medienprojekte (LP 2013-2018)
MP3-E	Medienprojekte ESF
MPAN	Medienproduktion - Animation
MPANx	Medienproduktion - Animation x-Gruppe
MPANy	Medienproduktion - Animation y-Gruppe
MPGD	Medienproduktion - Gamedesign
MPJ	Medienprojekt
MPJx-E	Medienprojekt ESF
MPJy	Medienprojekt y-Gruppe
MSRT	MESS-STEUR.-REGEL
MT	Mechanische Technologie
MTAI	Medientechnologie - Animation und Angewandte Informatik
MTAIx	Medientechnologie - Animation und Angewandte Informatik x-Gruppe
MTAIy	Medientechnologie - Animation und Angewandte Informatik y-Gruppe
MTGI	Medientechnologie - Gamedesign und Angewandte Informatik
MTIN	Medientechnologie und angewandte Informatik
MTKG	Medientheorie und Kunstgeschichte
MTx	Mechanische Technologie X-Gruppe
MTy	Mechanische Technologie Y-Gruppe
MU4A	Musikerziehung
MUL1	MULTIMEDIA
MUW	Marketing und Werbung
MWI2	Medienwirtschaft 
NBU	NL Bibliothek
NCAD	NL CAD
NDVA	NL Datenverarbeitungsanlagen
NEBL_2	Nebenleistungen
NEES	Netzwerke und Embedded Systems
NN_SKOC	
NSCS_1	Netzwerksysteme und Cyber Security
NSCS_1x	Netzwerksysteme und Cyber Security x-Gruppe
NSCS_1y	Netzwerksysteme und Cyber Security y-Gruppe
NVS1	Netzwerk- und verteilte Systeme
NVS1x	Netzwerk- und verteilte Systeme x-Gruppe
NVS1y	Netzwerk- und verteilte Systeme y-Gruppe
NW2	Naturwissenschaften
NWES	Netzwerke und Embedded Systems
NWESx-E	NWES ESF
NWESy	Netzwerke und Embedded Systems
NWG	Naturwissenschaftl. Grundlagen
NWG2	Naturwissenschaftliche Grundlagen
NWT1	Netzwerktechnik
NWTE	Netzwerktechnik
NWTEx	Netzwerktechnik x-Gruppe
NWTEy	Netzwerktechnik y-Gruppe
NWT_1x	Netzwerktechnik x-Gruppe
NWT_1y	Netzwerktechnik y-Gruppe
NWT_4A	Netzwerktechnik - Computerpraktikum
OPS	Wahlpflichtgegenstand Operations and Services
ORD	ORDINARIAT
P93	Einzelne Einrechnung
P93E	Kustodiatspool IT/EDV - WE
PMM	Prozessmanagement
PMMx	
PMMy	
POS1	Programmieren und Softwareengineering
POS1x	Programmieren und Softwareengineering x-Gruppe
POS1y	Programmieren und Softwareengineering y-Gruppe
POS1z	Programmieren und Softwareengineering z-Gruppe
POSx-E	POS ESF
PRE	Systemplanung und Projektentwicklung
PRMN	Produktmanagement
PRMNx	
PRMNy	
